,Name,Category,Location,Condition,Price,Quantity,Value,Purchase_Year
192,PRINTER,NETWORKING & PERIPHERAL,CO-WORKING,Fair,185000,2,370000,2021
193,RAK Besi,FURNITURE & APPLIANCES,SUITE,Good,600000,5,3000000,2019
194,RAM DIMM,TOOLS & SUPPLY,STORAGE ROOM,Good,1000000,12,12000000,2019
195,RAM SODIMM,TOOLS & SUPPLY,STORAGE ROOM,Good,1500000,7,10500000,2019
196,REFRIGERATORS MINI,FURNITURE & APPLIANCES,BOARD,Fair,50000,1,50000,2021
197,REFRIGERATORS Small,FURNITURE & APPLIANCES,KITCHEN,Good,100000,1,100000,2020
198,Remote Shutter,CAMERA,BOARD,Good,1000000,1,1000000,2019
199,ROLL BOARD,FURNITURE & APPLIANCES,BACK YARD UPPER,Good,1500000,1,1500000,2020
200,Router,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,750000,1,750000,2021
201,SATA HDD BRACKET,TOOLS & SUPPLY,STORAGE ROOM,Fair,60000,3,180000,2019
202,SCANNER,NETWORKING & PERIPHERAL,CO-WORKING,Good,250000,1,250000,2020
203,Screw Adapter Of Female 1/4 To Male 3/8 For Tripod Monopod Bullhead,TOOLS & SUPPLY,STORAGE ROOM,Good,135000,9,1215000,2020
204,screw mount adapter for DSLR Flash tiger,TOOLS & SUPPLY,STORAGE ROOM,Good,700000,1,700000,2021
205,Screwdriver set,TOOLS & SUPPLY,STORAGE ROOM,Good,15000,2,30000,2021
206,SMALL BAG,BAG & CASE,STORAGE ROOM,Good,130000,5,650000,2020
207,SMALL CASE,BAG & CASE,All Room,Fair,80000,16,1280000,2021
208,Sound Card External 3.5mm to USB,AUDIO,STORAGE ROOM,Good,1360000,1,1360000,2020
209,SpyderChecker,NETWORKING & PERIPHERAL,BOARD,Good,75000,1,75000,2021
210,Stecker,TOOLS & SUPPLY,STORAGE ROOM,Fair,150000,4,600000,2021
211,Switch,NETWORKING & PERIPHERAL,STORAGE ROOM,Excellent,2500000,2,5000000,2019
212,TAPE ( LAKBAN ),TOOLS & SUPPLY,STORAGE ROOM,Good,5000,31,155000,2021
213,Tape Cartridge Label Printer,TOOLS & SUPPLY,STORAGE ROOM,Good,900000,14,12600000,2020
214,TIME LAPSE CAMERA,CAMERA,BOARD,Good,10000,2,20000,2021
215,Tools Appliance,TOOLS & SUPPLY,STORAGE ROOM,Good,75000,1,75000,2020
216,Travel Stecker Conector,ELECTRICAL,STORAGE ROOM,Excellent,511111,9,4600000,2019
217,Tripod Camera,GRIP,STORAGE ROOM,Good,250000,1,250000,2019
218,Tripod Screw threaded to Flash hot shoe mount adapter DSLR,TOOLS & SUPPLY,STORAGE ROOM,Fair,3750,4,15000,2020
219,"Tripod, Magic Arm Camera",GRIP,STORAGE ROOM,Excellent,17000000,3,51000000,2019
220,TROLI,FURNITURE & APPLIANCES,STORAGE ROOM,Fair,10000,1,10000,2020
221,Uncategorised 1,NETWORKING & PERIPHERAL,STORAGE ROOM,Excellent,1500000,1,1500000,2020
222,Uncategorised 2,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,600000,1,600000,2020
223,Universal Outlet Power Strip,ELECTRICAL,STORAGE ROOM,Fair,62500,2,125000,2021
224,Usb charger Desktop,NETWORKING & PERIPHERAL,BOARD,Fair,235000,1,235000,2019
225,USB HUB,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,100000,1,100000,2020
226,Vacum Cleaner,FURNITURE & APPLIANCES,STORAGE ROOM,Good,750000,1,750000,2019
227,Video Audio Spliter,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,150000,2,300000,2020
228,Wacom Intuos Comic ( Cth-490 ),WORKSTATION,SUITE,Excellent,2600000,1,2600000,2019
229,Wardrobe Cabinet,FURNITURE & APPLIANCES,BEDROOM,Good,1500000,2,3000000,2020
230,WHITE BOARD,FURNITURE & APPLIANCES,BOARD,Good,500000,2,1000000,2020
231,WIRELESS Transmission Video Teradex,NETWORKING & PERIPHERAL,BOARD,Good,45000000,1,45000000,2019
232,ZABOGAR,WORKSTATION,AUDIO ROOM,Good,4800000,1,4800000,2019
233,ZABOGAR - AUDIO SWITCH,WORKSTATION,AUDIO ROOM,Excellent,240000,1,240000,2020
234,ZABOGAR - HEADPHONES,AUDIO,AUDIO ROOM,Good,1200000,1,1200000,2020
235,ZABOGAR - KEYBOARD,WORKSTATION,AUDIO ROOM,Fair,150000,1,150000,2021
236,ZABOGAR - LED MONITOR,WORKSTATION,AUDIO ROOM,Excellent,1800000,1,1800000,2019
237,ZABOGAR - LOUD SPEAKER 5.1,AUDIO,AUDIO ROOM,Excellent,6900000,1,6900000,2020
238,ZABOGAR - LOUD SPEAKERS STEREO,AUDIO,AUDIO ROOM,Excellent,2400000,1,2400000,2019
239,ZOBOGAR - AUDIO INTERFACE,WORKSTATION,AUDIO ROOM,Good,1600000,1,1600000,2020
240,ZUGGERNAUT,WORKSTATION,SUITE,Excellent,38000000,1,38000000,2019
241,ZUGGERNAUT AUDIO INTERFACE,WORKSTATION,SUITE,Excellent,3400000,1,3400000,2020
242,ZUGGERNAUT DISPLAY MONITOR,WORKSTATION,SUITE,Excellent,3900000,2,7800000,2020
243,ZUGGERNAUT Keyboard & Mouse,WORKSTATION,SUITE,Excellent,2300000,1,2300000,2020
244,ZUGGERNAUT LOUD SPEAKER,AUDIO,SUITE,Good,862500,2,1725000,2021
